
Using:

java: 8.0.232-open
# JMH version: 1.21
# VM version: JDK 1.8.0_232, OpenJDK 64-Bit Server VM, 25.232-b09
# VM invoker: /home/gardziol/.sdkman/candidates/java/8.0.232-open/jre/bin/java
# VM options: <none>
# Warmup: 3 iterations, 10 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: dev.jgardo.jackson.benchmark.NoChangesBenchmark.benchmark
# Parameters: (className = dev.jgardo.jackson.model.Primitives, fileName = /primitives/primitives-2.json)

# Run progress: 0,00% complete, ETA 00:02:10
# Fork: 1 of 1
# Warmup Iteration   1: 394,821 ns/op
# Warmup Iteration   2: 365,711 ns/op
# Warmup Iteration   3: 370,511 ns/op
Iteration  36: 1001,108 ns/op
Iteration  37: 1002,766 ns/op
Iteration  38: 1018,217 ns/op
Iteration  39: 1035,025 ns/op
Iteration  40: 1019,922 ns/op
Iteration  41: 1019,083 ns/op
Iteration  42: 1016,560 ns/op
Iteration  43: 1027,306 ns/op
Iteration  44: 1006,410 ns/op
Iteration  45: 1015,952 ns/op
Iteration  46: 1024,168 ns/op
Iteration  47: 1020,572 ns/op
Iteration  48: 1000,177 ns/op
Iteration  49: 1002,318 ns/op
Iteration  50: 1018,908 ns/op
Iteration  51: 1001,354 ns/op
Iteration  52: 1005,198 ns/op
Iteration  53: 1003,021 ns/op
Iteration  54: 1002,614 ns/op
Iteration  55: 1003,567 ns/op
Iteration  56: 1031,857 ns/op
Iteration  57: 1002,035 ns/op
Iteration  58: 1001,493 ns/op
Iteration  59: 1032,265 ns/op
Iteration  60: 1008,981 ns/op
Iteration  61: 1031,640 ns/op
Iteration  62: 1017,064 ns/op
Iteration  63: 1024,702 ns/op
Iteration  64: 1003,376 ns/op
Iteration  65: 1003,508 ns/op
Iteration  66: 1001,881 ns/op
Iteration  67: 1004,696 ns/op
Iteration  68: 1002,949 ns/op
Iteration  69: 1001,043 ns/op
Iteration  70: 1007,106 ns/op
Iteration  71: 1004,940 ns/op
Iteration  72: 1084,803 ns/op
Iteration  73: 1001,994 ns/op
Iteration  74: 1022,549 ns/op
Iteration  75: 1011,710 ns/op
Iteration  76: 1019,680 ns/op
Iteration  77: 1004,108 ns/op
Iteration  78: 1002,476 ns/op
Iteration  79: 1002,709 ns/op
Iteration  80: 1030,706 ns/op
Iteration  81: 1007,328 ns/op
Iteration  82: 1023,294 ns/op
Iteration  83: 1019,739 ns/op
Iteration  84: 1003,098 ns/op
Iteration  85: 1027,123 ns/op
Iteration  86: 1007,949 ns/op
Iteration  87: 1005,375 ns/op
Iteration  88: 1014,838 ns/op
Iteration  89: 1002,563 ns/op
Iteration  90: 1004,901 ns/op
Iteration  91: 1014,935 ns/op
Iteration  92: 1026,157 ns/op
Iteration  93: 1026,955 ns/op
Iteration  94: 1001,451 ns/op
Iteration  95: 1002,189 ns/op
Iteration  96: 1013,755 ns/op
Iteration  97: 1004,023 ns/op
Iteration  98: 1001,696 ns/op
Iteration  99: 1003,215 ns/op
Iteration 100: 1001,616 ns/op


Result "dev.jgardo.jackson.benchmark.NoChangesBenchmark.benchmark":
  1011,906 ±(99.9%) 4,281 ns/op [Average]
  (min, avg, max) = (1000,177, 1011,906, 1084,803), stdev = 12,623
  CI (99.9%): [1007,624, 1016,187] (assumes normal distribution)


# Run complete. Total time: 00:02:10

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                                          (className)               (fileName)  Mode  Cnt     Score   Error  Units
NoChangesBenchmark.benchmark  dev.jgardo.jackson.model.Objects  /objects/objects-6.json  avgt  100  1011,906 ± 4,281  ns/op
# JMH version: 1.21
# VM version: JDK 11.0.5, OpenJDK 64-Bit Server VM, 11.0.5+10
# VM invoker: /home/gardziol/.sdkman/candidates/java/11.0.5-open/bin/java
# VM options: <none>
# Warmup: 3 iterations, 10 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: dev.jgardo.jackson.benchmark.NoChangesBenchmark.benchmark
# Parameters: (className = dev.jgardo.jackson.model.Objects, fileName = /objects/objects-10.json)

# Run progress: 0,00% complete, ETA 00:02:10
# Fork: 1 of 1
# Warmup Iteration   1: 1672,934 ns/op
# Warmup Iteration   2: 1542,212 ns/op
# Warmup Iteration   3: 1544,058 ns/op
Iteration   1: 1553,223 ns/op
Iteration   2: 1541,554 ns/op
Iteration   3: 1540,903 ns/op
Iteration   4: 1541,383 ns/op
Iteration   5: 1541,850 ns/op
Iteration   6: 1542,329 ns/op
Iteration   7: 1542,115 ns/op
Iteration   8: 1541,116 ns/op
Iteration   9: 1542,582 ns/op
Iteration  10: 1580,928 ns/op
Iteration  11: 1569,256 ns/op
Iteration  12: 1544,790 ns/op
Iteration  13: 1539,661 ns/op
Iteration  14: 1545,250 ns/op
Iteration  15: 1590,828 ns/op
Iteration  16: 1543,245 ns/op
Iteration  17: 1541,410 ns/op
Iteration  18: 1544,190 ns/op
Iteration  19: 1548,123 ns/op
Iteration  20: 1541,519 ns/op
Iteration  21: 1542,876 ns/op
Iteration  22: 1543,455 ns/op
Iteration  23: 1574,286 ns/op
Iteration  24: 1542,335 ns/op
Iteration  25: 1542,143 ns/op
Iteration  26: 1542,492 ns/op
Iteration  27: 1548,570 ns/op
Iteration  28: 1542,479 ns/op
Iteration  29: 1541,912 ns/op
Iteration  30: 1543,216 ns/op
Iteration  31: 1588,182 ns/op
Iteration  32: 1605,561 ns/op
Iteration  33: 1541,817 ns/op
Iteration  34: 1548,958 ns/op
Iteration  35: 1542,359 ns/op
Iteration  36: 1546,704 ns/op
Iteration  37: 1541,020 ns/op
Iteration  38: 1542,552 ns/op
Iteration  39: 1542,466 ns/op
Iteration  40: 1548,555 ns/op
Iteration  41: 1544,188 ns/op
Iteration  42: 1543,112 ns/op
Iteration  43: 1542,963 ns/op
Iteration  44: 1540,873 ns/op
Iteration  45: 1549,812 ns/op
Iteration  46: 1557,212 ns/op
Iteration  47: 1560,038 ns/op
Iteration  48: 1542,270 ns/op
Iteration  49: 1543,482 ns/op
Iteration  50: 1546,803 ns/op
Iteration  51: 1539,898 ns/op
Iteration  52: 1549,790 ns/op
Iteration  53: 1542,553 ns/op
Iteration  54: 1541,254 ns/op
Iteration  55: 1541,866 ns/op
Iteration  56: 1541,579 ns/op
Iteration  57: 1542,219 ns/op
Iteration  58: 1543,685 ns/op
Iteration  59: 1541,112 ns/op
Iteration  60: 1543,636 ns/op
Iteration  61: 1540,279 ns/op
Iteration  62: 1543,550 ns/op
Iteration  63: 1543,183 ns/op
Iteration  64: 1543,150 ns/op
Iteration  65: 1543,201 ns/op
Iteration  66: 1545,538 ns/op
Iteration  67: 1544,686 ns/op
Iteration  68: 1541,245 ns/op
Iteration  69: 1541,808 ns/op
Iteration  70: 1542,991 ns/op
Iteration  71: 1542,979 ns/op
Iteration  72: 1540,655 ns/op
Iteration  73: 1540,965 ns/op
Iteration  74: 1541,308 ns/op
Iteration  75: 1548,236 ns/op
Iteration  76: 1542,816 ns/op
Iteration  77: 1542,038 ns/op
Iteration  78: 1545,024 ns/op
Iteration  79: 1540,381 ns/op
Iteration  80: 1543,150 ns/op
Iteration  81: 1542,663 ns/op
Iteration  82: 1542,099 ns/op
Iteration  83: 1546,000 ns/op
Iteration  84: 1543,602 ns/op
Iteration  85: 1549,846 ns/op
Iteration  86: 1541,019 ns/op
Iteration  87: 1542,438 ns/op
Iteration  88: 1552,166 ns/op
Iteration  89: 1545,757 ns/op
Iteration  90: 1539,585 ns/op
Iteration  91: 1544,241 ns/op
Iteration  92: 1543,123 ns/op
Iteration  93: 1540,640 ns/op
Iteration  94: 1541,877 ns/op
Iteration  95: 1550,634 ns/op
Iteration  96: 1542,358 ns/op
Iteration  97: 1540,316 ns/op
Iteration  98: 1558,010 ns/op
Iteration  99: 1543,557 ns/op
Iteration 100: 1541,103 ns/op


Result "dev.jgardo.jackson.benchmark.NoChangesBenchmark.benchmark":
  1546,348 ±(99.9%) 3,685 ns/op [Average]
  (min, avg, max) = (1539,585, 1546,348, 1605,561), stdev = 10,866
  CI (99.9%): [1542,662, 1550,033] (assumes normal distribution)


# Run complete. Total time: 00:02:10

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                                          (className)                (fileName)  Mode  Cnt     Score   Error  Units
NoChangesBenchmark.benchmark  dev.jgardo.jackson.model.Objects  /objects/objects-10.json  avgt  100  1546,348 ± 3,685  ns/op
# JMH version: 1.21
# VM version: JDK 11.0.5, OpenJDK 64-Bit Server VM, 11.0.5+10
# VM invoker: /home/gardziol/.sdkman/candidates/java/11.0.5-open/bin/java
# VM options: <none>
# Warmup: 3 iterations, 10 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: dev.jgardo.jackson.benchmark.NoChangesBenchmark.benchmark
# Parameters: (className = dev.jgardo.jackson.model.Objects, fileName = /objects/objects-20.json)

# Run progress: 0,00% complete, ETA 00:02:10
# Fork: 1 of 1
# Warmup Iteration   1: 3368,179 ns/op
# Warmup Iteration   2: 3187,017 ns/op
# Warmup Iteration   3: 3223,021 ns/op
Iteration   1: 3177,114 ns/op
Iteration   2: 3178,878 ns/op
Iteration   3: 3186,756 ns/op
Iteration   4: 3181,411 ns/op
Iteration   5: 3184,990 ns/op
Iteration   6: 3213,354 ns/op
Iteration   7: 3234,505 ns/op
Iteration   8: 3261,888 ns/op
Iteration   9: 3240,309 ns/op
Iteration  10: 3304,338 ns/op
Iteration  11: 3186,785 ns/op
Iteration  12: 3176,201 ns/op
Iteration  13: 3200,490 ns/op
Iteration  14: 3174,487 ns/op
Iteration  15: 3173,605 ns/op
Iteration  16: 3240,430 ns/op
Iteration  17: 3176,761 ns/op
Iteration  18: 3176,626 ns/op
Iteration  19: 3183,486 ns/op
Iteration  20: 3262,494 ns/op
Iteration  21: 3245,031 ns/op
Iteration  22: 3176,907 ns/op
Iteration  23: 3181,825 ns/op
Iteration  24: 3177,947 ns/op
Iteration  25: 3172,709 ns/op
Iteration  26: 3173,636 ns/op
Iteration  27: 3177,059 ns/op
Iteration  28: 3174,682 ns/op
Iteration  29: 3198,698 ns/op
Iteration  30: 3173,339 ns/op
Iteration  31: 3179,392 ns/op
Iteration  32: 3221,100 ns/op
Iteration  33: 3222,068 ns/op
Iteration  34: 3179,532 ns/op
Iteration  35: 3202,186 ns/op
Iteration  36: 3169,588 ns/op
Iteration  37: 3173,980 ns/op
Iteration  38: 3174,548 ns/op
Iteration  39: 3171,648 ns/op
Iteration  40: 3177,237 ns/op
Iteration  41: 3178,972 ns/op
Iteration  42: 3303,126 ns/op
Iteration  43: 3175,141 ns/op
Iteration  44: 3243,399 ns/op
Iteration  45: 3301,343 ns/op
Iteration  46: 3185,191 ns/op
Iteration  47: 3174,033 ns/op
Iteration  48: 3267,649 ns/op
Iteration  49: 3237,786 ns/op
Iteration  50: 3177,086 ns/op
Iteration  51: 3176,329 ns/op
Iteration  52: 3174,323 ns/op
Iteration  53: 3174,138 ns/op
Iteration  54: 3181,764 ns/op
Iteration  55: 3176,158 ns/op
Iteration  56: 3174,866 ns/op
Iteration  57: 3169,533 ns/op
Iteration  58: 3216,217 ns/op
Iteration  59: 3184,626 ns/op
Iteration  60: 3247,605 ns/op
Iteration  61: 3229,385 ns/op
Iteration  62: 3180,669 ns/op
Iteration  63: 3237,419 ns/op
Iteration  64: 3178,761 ns/op
Iteration  65: 3176,987 ns/op
Iteration  66: 3238,043 ns/op
Iteration  67: 3175,651 ns/op
Iteration  68: 3184,416 ns/op
Iteration  69: 3171,266 ns/op
Iteration  70: 3254,140 ns/op
Iteration  71: 3174,666 ns/op
Iteration  72: 3171,161 ns/op
Iteration  73: 3172,284 ns/op
Iteration  74: 3238,930 ns/op
Iteration  75: 3172,078 ns/op
Iteration  76: 3175,022 ns/op
Iteration  77: 3233,041 ns/op
Iteration  78: 3217,652 ns/op
Iteration  79: 3173,900 ns/op
Iteration  80: 3175,658 ns/op
Iteration  81: 3176,001 ns/op
Iteration  82: 3176,643 ns/op
Iteration  83: 3304,335 ns/op
Iteration  84: 3186,682 ns/op
Iteration  85: 3177,020 ns/op
Iteration  86: 3172,149 ns/op
Iteration  87: 3207,165 ns/op
Iteration  88: 3179,041 ns/op
Iteration  89: 3190,527 ns/op
Iteration  90: 3183,877 ns/op
Iteration  91: 3185,413 ns/op
Iteration  92: 3177,018 ns/op
Iteration  93: 3169,141 ns/op
Iteration  94: 3220,182 ns/op
Iteration  95: 3190,793 ns/op
Iteration  96: 3183,660 ns/op
Iteration  97: 3171,538 ns/op
Iteration  98: 3171,468 ns/op
Iteration  99: 3201,540 ns/op
Iteration 100: 3186,213 ns/op


Result "dev.jgardo.jackson.benchmark.NoChangesBenchmark.benchmark":
  3196,988 ±(99.9%) 11,511 ns/op [Average]
  (min, avg, max) = (3169,141, 3196,988, 3304,338), stdev = 33,939
  CI (99.9%): [3185,478, 3208,499] (assumes normal distribution)


# Run complete. Total time: 00:02:10

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                                          (className)                (fileName)  Mode  Cnt     Score    Error  Units
NoChangesBenchmark.benchmark  dev.jgardo.jackson.model.Objects  /objects/objects-20.json  avgt  100  3196,988 ± 11,511  ns/op
# JMH version: 1.21
# VM version: JDK 11.0.5, OpenJDK 64-Bit Server VM, 11.0.5+10
# VM invoker: /home/gardziol/.sdkman/candidates/java/11.0.5-open/bin/java
# VM options: <none>
# Warmup: 3 iterations, 10 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: dev.jgardo.jackson.benchmark.NoChangesBenchmark.benchmark
# Parameters: (className = dev.jgardo.jackson.model.Mixed, fileName = /mixed/mixed-2.json)

# Run progress: 0,00% complete, ETA 00:02:10
# Fork: 1 of 1
# Warmup Iteration   1: 482,463 ns/op
# Warmup Iteration   2: 457,972 ns/op
# Warmup Iteration   3: 457,812 ns/op
Iteration   1: 455,636 ns/op
Iteration   2: 473,866 ns/op
Iteration   3: 453,692 ns/op
Iteration   4: 451,514 ns/op
Iteration   5: 452,554 ns/op
Iteration   6: 460,080 ns/op
Iteration   7: 454,524 ns/op
Iteration   8: 461,848 ns/op
Iteration   9: 456,143 ns/op
Iteration  10: 451,486 ns/op
Iteration  11: 455,675 ns/op
Iteration  12: 463,837 ns/op
Iteration  13: 453,170 ns/op
Iteration  14: 450,591 ns/op
Iteration  15: 460,905 ns/op
Iteration  16: 454,764 ns/op
Iteration  17: 452,586 ns/op
Iteration  18: 456,860 ns/op
Iteration  19: 451,620 ns/op
Iteration  20: 450,371 ns/op
Iteration  21: 450,893 ns/op
Iteration  22: 450,415 ns/op
Iteration  23: 450,720 ns/op
Iteration  24: 459,598 ns/op
Iteration  25: 451,842 ns/op
Iteration  26: 456,624 ns/op
Iteration  27: 461,704 ns/op
Iteration  28: 451,044 ns/op
Iteration  29: 457,916 ns/op
Iteration  30: 450,899 ns/op
Iteration  31: 451,192 ns/op
Iteration  32: 451,120 ns/op
Iteration  33: 460,249 ns/op
Iteration  34: 463,590 ns/op
Iteration  35: 459,955 ns/op
Iteration  36: 450,313 ns/op
Iteration  37: 463,231 ns/op
Iteration  38: 465,935 ns/op
Iteration  39: 459,191 ns/op
Iteration  40: 463,230 ns/op
Iteration  41: 456,809 ns/op
Iteration  42: 449,875 ns/op
Iteration  43: 450,331 ns/op
Iteration  44: 450,313 ns/op
Iteration  45: 449,937 ns/op
Iteration  46: 452,264 ns/op
Iteration  47: 450,605 ns/op
Iteration  48: 471,356 ns/op
Iteration  49: 452,375 ns/op
Iteration  50: 455,180 ns/op
Iteration  51: 464,069 ns/op
Iteration  52: 465,860 ns/op
Iteration  53: 451,778 ns/op
Iteration  54: 456,900 ns/op
Iteration  55: 472,004 ns/op
Iteration  56: 455,408 ns/op
Iteration  57: 458,481 ns/op
Iteration  58: 462,631 ns/op
Iteration  59: 460,297 ns/op
Iteration  60: 458,431 ns/op
Iteration  61: 453,149 ns/op
Iteration  62: 452,455 ns/op
Iteration  63: 451,225 ns/op
Iteration  64: 452,418 ns/op
Iteration  65: 451,171 ns/op
Iteration  66: 453,027 ns/op
Iteration  67: 451,227 ns/op
Iteration  68: 449,974 ns/op
Iteration  69: 450,489 ns/op
Iteration  70: 469,677 ns/op
Iteration  71: 457,793 ns/op
Iteration  72: 458,149 ns/op
Iteration  73: 450,758 ns/op
Iteration  74: 470,415 ns/op
Iteration  75: 463,255 ns/op
Iteration  76: 450,450 ns/op
Iteration  77: 450,225 ns/op
Iteration  78: 464,482 ns/op
Iteration  79: 450,434 ns/op
Iteration  80: 450,683 ns/op
Iteration  81: 452,307 ns/op
Iteration  82: 451,259 ns/op
Iteration  83: 452,861 ns/op
Iteration  84: 459,115 ns/op
Iteration  85: 451,913 ns/op
Iteration  86: 464,061 ns/op
Iteration  87: 455,375 ns/op
Iteration  88: 454,215 ns/op
Iteration  89: 449,917 ns/op
Iteration  90: 449,826 ns/op
Iteration  91: 453,926 ns/op
Iteration  92: 451,548 ns/op
Iteration  93: 450,421 ns/op
Iteration  94: 459,991 ns/op
Iteration  95: 463,242 ns/op
Iteration  96: 456,806 ns/op
Iteration  97: 454,976 ns/op
Iteration  98: 450,114 ns/op
Iteration  99: 456,191 ns/op
Iteration 100: 449,971 ns/op


Result "dev.jgardo.jackson.benchmark.NoChangesBenchmark.benchmark":
  455,858 ±(99.9%) 1,992 ns/op [Average]
  (min, avg, max) = (449,826, 455,858, 473,866), stdev = 5,873
  CI (99.9%): [453,866, 457,850] (assumes normal distribution)


# Run complete. Total time: 00:02:10

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                                        (className)           (fileName)  Mode  Cnt    Score   Error  Units
NoChangesBenchmark.benchmark  dev.jgardo.jackson.model.Mixed  /mixed/mixed-2.json  avgt  100  455,858 ± 1,992  ns/op
# JMH version: 1.21
# VM version: JDK 11.0.5, OpenJDK 64-Bit Server VM, 11.0.5+10
# VM invoker: /home/gardziol/.sdkman/candidates/java/11.0.5-open/bin/java
# VM options: <none>
# Warmup: 3 iterations, 10 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: dev.jgardo.jackson.benchmark.NoChangesBenchmark.benchmark
# Parameters: (className = dev.jgardo.jackson.model.Mixed, fileName = /mixed/mixed-6.json)

# Run progress: 0,00% complete, ETA 00:02:10
# Fork: 1 of 1
# Warmup Iteration   1: 999,171 ns/op
# Warmup Iteration   2: 949,803 ns/op
# Warmup Iteration   3: 940,172 ns/op
Iteration   1: 981,622 ns/op
Iteration   2: 958,351 ns/op
Iteration   3: 973,768 ns/op
Iteration   4: 962,679 ns/op
Iteration   5: 946,479 ns/op
Iteration   6: 937,805 ns/op
Iteration   7: 938,870 ns/op
Iteration   8: 936,828 ns/op
Iteration   9: 958,906 ns/op
Iteration  10: 957,398 ns/op
Iteration  11: 954,360 ns/op
Iteration  12: 963,860 ns/op
Iteration  13: 959,335 ns/op
Iteration  14: 984,402 ns/op
Iteration  15: 973,906 ns/op
Iteration  16: 954,245 ns/op
Iteration  17: 954,033 ns/op
Iteration  18: 953,735 ns/op
Iteration  19: 971,329 ns/op
Iteration  20: 988,918 ns/op
Iteration  21: 968,654 ns/op
Iteration  22: 959,987 ns/op
Iteration  23: 979,844 ns/op
Iteration  24: 955,148 ns/op
Iteration  25: 954,068 ns/op
Iteration  26: 955,301 ns/op
Iteration  27: 952,987 ns/op
Iteration  28: 954,527 ns/op
Iteration  29: 952,891 ns/op
Iteration  30: 969,586 ns/op
Iteration  31: 954,130 ns/op
Iteration  32: 953,580 ns/op
Iteration  33: 952,477 ns/op
Iteration  34: 958,980 ns/op
Iteration  35: 970,321 ns/op
Iteration  36: 954,660 ns/op
Iteration  37: 954,003 ns/op
Iteration  38: 955,048 ns/op
Iteration  39: 973,848 ns/op
Iteration  40: 1016,333 ns/op
Iteration  41: 954,241 ns/op
Iteration  42: 974,860 ns/op
Iteration  43: 976,869 ns/op
Iteration  44: 956,539 ns/op
Iteration  45: 979,802 ns/op
Iteration  46: 954,555 ns/op
Iteration  47: 953,870 ns/op
Iteration  48: 954,166 ns/op
Iteration  49: 953,269 ns/op
Iteration  50: 961,015 ns/op
Iteration  51: 954,452 ns/op
Iteration  52: 954,933 ns/op
Iteration  53: 955,655 ns/op
Iteration  54: 953,942 ns/op
Iteration  55: 953,578 ns/op
Iteration  56: 954,034 ns/op
Iteration  57: 953,746 ns/op
Iteration  58: 953,104 ns/op
Iteration  59: 954,010 ns/op
Iteration  60: 951,722 ns/op
Iteration  61: 953,727 ns/op
Iteration  62: 954,185 ns/op
Iteration  63: 952,911 ns/op
Iteration  64: 953,110 ns/op
Iteration  65: 951,947 ns/op
Iteration  66: 955,281 ns/op
Iteration  67: 952,731 ns/op
Iteration  68: 953,026 ns/op
Iteration  69: 958,501 ns/op
Iteration  70: 991,343 ns/op
Iteration  71: 969,511 ns/op
Iteration  72: 1000,066 ns/op
Iteration  73: 966,664 ns/op
Iteration  74: 977,280 ns/op
Iteration  75: 960,807 ns/op
Iteration  76: 967,995 ns/op
Iteration  77: 966,583 ns/op
Iteration  78: 954,082 ns/op
Iteration  79: 996,426 ns/op
Iteration  80: 961,388 ns/op
Iteration  81: 959,328 ns/op
Iteration  82: 992,078 ns/op
Iteration  83: 955,871 ns/op
Iteration  84: 973,599 ns/op
Iteration  85: 957,751 ns/op
Iteration  86: 992,235 ns/op
Iteration  87: 955,340 ns/op
Iteration  88: 971,595 ns/op
Iteration  89: 998,362 ns/op
Iteration  90: 967,767 ns/op
Iteration  91: 970,379 ns/op
Iteration  92: 983,133 ns/op
Iteration  93: 967,443 ns/op
Iteration  94: 956,037 ns/op
Iteration  95: 954,839 ns/op
Iteration  96: 953,165 ns/op
Iteration  97: 956,135 ns/op
Iteration  98: 951,635 ns/op
Iteration  99: 973,400 ns/op
Iteration 100: 983,949 ns/op


Result "dev.jgardo.jackson.benchmark.NoChangesBenchmark.benchmark":
  962,872 ±(99.9%) 4,796 ns/op [Average]
  (min, avg, max) = (936,828, 962,872, 1016,333), stdev = 14,141
  CI (99.9%): [958,076, 967,668] (assumes normal distribution)


# Run complete. Total time: 00:02:10

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                                        (className)           (fileName)  Mode  Cnt    Score   Error  Units
NoChangesBenchmark.benchmark  dev.jgardo.jackson.model.Mixed  /mixed/mixed-6.json  avgt  100  962,872 ± 4,796  ns/op
# JMH version: 1.21
# VM version: JDK 11.0.5, OpenJDK 64-Bit Server VM, 11.0.5+10
# VM invoker: /home/gardziol/.sdkman/candidates/java/11.0.5-open/bin/java
# VM options: <none>
# Warmup: 3 iterations, 10 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: dev.jgardo.jackson.benchmark.NoChangesBenchmark.benchmark
# Parameters: (className = dev.jgardo.jackson.model.Mixed, fileName = /mixed/mixed-10.json)

# Run progress: 0,00% complete, ETA 00:02:10
# Fork: 1 of 1
# Warmup Iteration   1: 1801,964 ns/op
# Warmup Iteration   2: 1705,590 ns/op
# Warmup Iteration   3: 1689,994 ns/op
Iteration   1: 1687,830 ns/op
Iteration   2: 1715,628 ns/op
Iteration   3: 1693,010 ns/op
Iteration   4: 1748,786 ns/op
Iteration   5: 1696,154 ns/op
Iteration   6: 1724,523 ns/op
Iteration   7: 1714,757 ns/op
Iteration   8: 1706,495 ns/op
Iteration   9: 1686,943 ns/op
Iteration  10: 1688,172 ns/op
Iteration  11: 1686,603 ns/op
Iteration  12: 1713,369 ns/op
Iteration  13: 1688,424 ns/op
Iteration  14: 1692,418 ns/op
Iteration  15: 1718,789 ns/op
Iteration  16: 1727,864 ns/op
Iteration  17: 1697,115 ns/op
Iteration  18: 1682,219 ns/op
Iteration  19: 1684,411 ns/op
Iteration  20: 1703,916 ns/op
Iteration  21: 1680,496 ns/op
Iteration  22: 1685,130 ns/op
Iteration  23: 1684,169 ns/op
Iteration  24: 1687,153 ns/op
Iteration  25: 1681,677 ns/op
Iteration  26: 1681,730 ns/op
Iteration  27: 1682,293 ns/op
Iteration  28: 1680,085 ns/op
Iteration  29: 1682,131 ns/op
Iteration  30: 1683,049 ns/op
Iteration  31: 1683,217 ns/op
Iteration  32: 1680,974 ns/op
Iteration  33: 1717,084 ns/op
Iteration  34: 1703,762 ns/op
Iteration  35: 1686,794 ns/op
Iteration  36: 1682,973 ns/op
Iteration  37: 1683,924 ns/op
Iteration  38: 1688,347 ns/op
Iteration  39: 1714,105 ns/op
Iteration  40: 1707,315 ns/op
Iteration  41: 1701,369 ns/op
Iteration  42: 1694,936 ns/op
Iteration  43: 1733,918 ns/op
Iteration  44: 1681,529 ns/op
Iteration  45: 1680,815 ns/op
Iteration  46: 1682,812 ns/op
Iteration  47: 1682,432 ns/op
Iteration  48: 1682,179 ns/op
Iteration  49: 1691,465 ns/op
Iteration  50: 1688,826 ns/op
Iteration  51: 1739,436 ns/op
Iteration  52: 1749,671 ns/op
Iteration  53: 1685,295 ns/op
Iteration  54: 1683,491 ns/op
Iteration  55: 1680,127 ns/op
Iteration  56: 1682,529 ns/op
Iteration  57: 1681,281 ns/op
Iteration  58: 1684,274 ns/op
Iteration  59: 1773,449 ns/op
Iteration  60: 1679,176 ns/op
Iteration  61: 1682,343 ns/op
Iteration  62: 1683,236 ns/op
Iteration  63: 1731,473 ns/op
Iteration  64: 1721,469 ns/op
Iteration  65: 1680,842 ns/op
Iteration  66: 1691,459 ns/op
Iteration  67: 1703,903 ns/op
Iteration  68: 1723,746 ns/op
Iteration  69: 1681,894 ns/op
Iteration  70: 1679,488 ns/op
Iteration  71: 1682,234 ns/op
Iteration  72: 1699,407 ns/op
Iteration  73: 1681,786 ns/op
Iteration  74: 1681,907 ns/op
Iteration  75: 1722,806 ns/op
Iteration  76: 1708,666 ns/op
Iteration  77: 1718,124 ns/op
Iteration  78: 1681,753 ns/op
Iteration  79: 1714,199 ns/op
Iteration  80: 1681,489 ns/op
Iteration  81: 1728,625 ns/op
Iteration  82: 1698,874 ns/op
